ZIPCODE,ZC_LATITUDE,ZC_LONGITUDE,AUTONOMOUS_COMMUNITY,AUTONOMOUS_COMMUNITY_NK,PROVINCE
05413,40.25,-5,Castilla - Leon,CL,Ávila
05412,40.2667,-4.9833,Castilla - Leon,CL,Ávila
05410,40.2667,-5.0167,Castilla - Leon,CL,Ávila
05400,40.2167,-5.05,Castilla - Leon,CL,Ávila
05380,40.8833,-5.1167,Castilla - Leon,CL,Ávila
05370,40.9667,-5.0833,Castilla - Leon,CL,Ávila
05358,40.8667,-4.8333,Castilla - Leon,CL,Ávila
05357,40.7833,-4.8333,Castilla - Leon,CL,Ávila
05350,40.7667,-4.8667,Castilla - Leon,CL,Ávila
05320,40.75,-4.75,Castilla - Leon,CL,Ávila
05310,40.9333,-4.9667,Castilla - Leon,CL,Ávila
05309,40.8667,-4.9433,Castilla - Leon,CL,Ávila
05308,,,Castilla - Leon,CL,Ávila
05300,40.8667,-4.9667,Castilla - Leon,CL,Ávila
05299,41.1,-4.95,Castilla - Leon,CL,Ávila
05298,41.0167,-5,Castilla - Leon,CL,Ávila
05296,40.9833,-4.6333,Castilla - Leon,CL,Ávila
05294,40.6,-4.4833,Castilla - Leon,CL,Ávila
05292,40.8,-4.6667,Castilla - Leon,CL,Ávila
05291,40.8167,-4.5,Castilla - Leon,CL,Ávila
05290,40.8833,-4.6083,Castilla - Leon,CL,Ávila
05289,40.7333,-4.6,Castilla - Leon,CL,Ávila
05280,40.75,-4.6667,Castilla - Leon,CL,Ávila
05279,40.4167,-4.5,Castilla - Leon,CL,Ávila
05278,40.4167,-4.5,Castilla - Leon,CL,Ávila
05270,40.4167,-4.5,Castilla - Leon,CL,Ávila
05269,40.5167,-4.5278,Castilla - Leon,CL,Ávila
05268,40.55,-4.5833,Castilla - Leon,CL,Ávila
05267,40.55,-4.5333,Castilla - Leon,CL,Ávila
05260,40.45,-4.4667,Castilla - Leon,CL,Ávila
05250,40.5,-4.4167,Castilla - Leon,CL,Ávila
05240,40.5833,-4.4,Castilla - Leon,CL,Ávila
05239,40.6167,-4.25,Castilla - Leon,CL,Ávila
05230,40.6,-4.3333,Castilla - Leon,CL,Ávila
05229,41.0667,-4.9333,Castilla - Leon,CL,Ávila
05220,41.0833,-5,Castilla - Leon,CL,Ávila
05217,40.9667,-4.8333,Castilla - Leon,CL,Ávila
05216,40.9667,-4.7667,Castilla - Leon,CL,Ávila
05215,41.0833,-4.8333,Castilla - Leon,CL,Ávila
05214,,,Castilla - Leon,CL,Ávila
05213,41,-4.85,Castilla - Leon,CL,Ávila
05212,41.0167,-4.9,Castilla - Leon,CL,Ávila
05211,40.95,-4.95,Castilla - Leon,CL,Ávila
05210,41.0667,-5.0833,Castilla - Leon,CL,Ávila
05200,41.0667,-4.7167,Castilla - Leon,CL,Ávila
05198,40.55,-4.85,Castilla - Leon,CL,Ávila
05197,40.6,-4.75,Castilla - Leon,CL,Ávila
05196,40.6167,-4.5333,Castilla - Leon,CL,Ávila
05195,40.6667,-4.5833,Castilla - Leon,CL,Ávila
05194,40.7,-4.5833,Castilla - Leon,CL,Ávila
05193,40.7167,-4.5167,Castilla - Leon,CL,Ávila
05192,40.6333,-4.7833,Castilla - Leon,CL,Ávila
05191,40.55,-4.8167,Castilla - Leon,CL,Ávila
05190,40.55,-4.775,Castilla - Leon,CL,Ávila
05165,40.9333,-4.7167,Castilla - Leon,CL,Ávila
05164,40.8333,-4.7667,Castilla - Leon,CL,Ávila
05163,40.7667,-4.7833,Castilla - Leon,CL,Ávila
